IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,IDTEALIN,IDTEACH,IDLINK,IDPOP,IDGRADER,IDGRADE,IDSUBJ,ITCOURSE,MATSUBJ,SCISUBJ,NMTEACH,NSTEACH,NTEACH,MATWGT,SCIWGT,TCHWGT,JKREP,JKZONE,ASMMAT01,ASMMAT02,ASMMAT03,ASMMAT04,ASMMAT05,ASSSCI01,ASSSCI02,ASSSCI03,ASSSCI04,ASSSCI05,ASMIBM01,ASMIBM02,ASMIBM03,ASMIBM04,ASMIBM05,ASSIBM01,ASSIBM02,ASSIBM03,ASSIBM04,ASSIBM05,VERSION,SCOPE
208.0,13.0,5002.0,500203.0,50020318.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,508.21672,498.85027,508.03515,500.799,553.19735,552.00113,525.00163,538.80151,522.86502,519.76133,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0
208.0,14.0,5002.0,500203.0,50020319.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,612.90135,555.58521,558.39295,556.72527,543.32813,623.22525,577.79849,568.28164,588.64295,544.31435,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0
208.0,14.0,5002.0,500203.0,50020319.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,612.90135,555.58521,558.39295,556.72527,543.32813,623.22525,577.79849,568.28164,588.64295,544.31435,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0
208.0,16.0,5002.0,500203.0,50020320.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,576.11799,589.61346,586.31127,598.2363,603.45929,504.31739,533.4774,587.05747,563.98559,555.4538,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0
208.0,16.0,5002.0,500203.0,50020320.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,576.11799,589.61346,586.31127,598.2363,603.45929,504.31739,533.4774,587.05747,563.98559,555.4538,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0
208.0,1.0,5002.0,500203.0,50020321.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,380.48429,357.45023,334.77284,352.79115,371.56408,394.13373,364.56747,369.47179,421.23548,424.96623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0
208.0,1.0,5002.0,500203.0,50020321.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,380.48429,357.45023,334.77284,352.79115,371.56408,394.13373,364.56747,369.47179,421.23548,424.96623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0
208.0,2.0,5002.0,500203.0,50020322.0,50020103.0,500201.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,21.853477,0.0,10.926739,0.0,22.0,439.40231,471.7209,383.56548,441.50429,405.77734,426.42786,502.4759,348.71101,455.30076,499.87208,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,5.0,1.0
208.0,2.0,5002.0,500203.0,50020322.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,439.40231,471.7209,383.56548,441.50429,405.77734,426.42786,502.4759,348.71101,455.30076,499.87208,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,5.0,1.0
208.0,3.0,5002.0,500203.0,50020323.0,50020204.0,500202.0,4.0,1.0,2.0,4.0,2.0,6.0,0.0,1.0,1.0,1.0,2.0,0.0,21.853477,10.926739,0.0,22.0,543.7442,539.95008,528.53281,540.49561,580.57031,451.78895,516.27511,501.57369,481.35396,483.98798,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0
